step;lr;trainingloss;trainingppl
 7820;1.28; 4.66;  105.50
 7830;1.28; 4.47;   87.68
 7840;1.28; 4.46;   86.14
 7850;1.28; 4.59;   98.35
 7860;1.28; 4.60;   99.47
 7870;1.28; 4.53;   92.70
 7880;1.27; 4.69;  108.88
 7890;1.27; 4.62;  101.14
 7900;1.27; 4.53;   93.02
 7910;1.27; 4.50;   90.34
 7920;1.27; 4.46;   86.41
 7930;1.27; 4.48;   87.91
 7940;1.27; 4.58;   97.44
 7950;1.27; 4.58;   97.92
 7960;1.27; 4.54;   93.84
 7970;1.27; 4.50;   89.60
 7980;1.27; 4.40;   81.64
 7990;1.27; 4.43;   83.83
 8000;1.26; 4.31;   74.30
 8010;1.26; 4.37;   78.85
 8020;1.26; 4.53;   93.19
 8030;1.26; 4.44;   84.99
 8040;1.26; 4.53;   93.20
 8050;1.26; 4.50;   89.72
 8060;1.26; 4.69;  108.81
 8070;1.26; 4.50;   89.99
 8080;1.26; 4.57;   97.00
 8090;1.26; 4.54;   93.87
 8100;1.26; 4.58;   97.44
 8110;1.26; 4.38;   79.71
 8120;1.26; 4.46;   86.30
 8130;1.25; 4.57;   96.86
 8140;1.25; 4.43;   83.51
 8150;1.25; 4.64;  103.17
 8160;1.25; 4.71;  111.18
 8170;1.25; 4.47;   87.25
 8180;1.25; 4.49;   88.82
 8190;1.25; 4.47;   87.36
 8200;1.25; 4.53;   92.71
 8210;1.25; 4.66;  105.13
 8220;1.25; 4.53;   92.96
 8230;1.25; 4.43;   84.06
 8240;1.25; 4.46;   86.86
 8250;1.25; 4.50;   90.11
 8260;1.24; 4.43;   84.20
 8270;1.24; 4.55;   94.72
 8280;1.24; 4.54;   93.86
 8290;1.24; 4.56;   96.03
 8300;1.24; 4.53;   92.61
 8310;1.24; 4.52;   91.62
 8320;1.24; 4.45;   85.33
 8330;1.24; 4.46;   86.55
 8350;1.24; 4.95;  141.12
 8360;1.24; 4.51;   90.76
 8370;1.24; 4.52;   92.07
 8380;1.24; 4.55;   94.59
 8390;1.24; 4.54;   93.62
 8400;1.23; 4.53;   93.11
 8410;1.23; 4.42;   83.27
 8420;1.23; 4.60;   99.16
 8430;1.23; 4.61;  100.55
 8440;1.23; 4.60;   99.48
 8450;1.23; 4.55;   94.21
 8460;1.23; 4.43;   84.05
 8470;1.23; 4.48;   88.06
 8480;1.23; 4.56;   95.60
 8490;1.23; 4.57;   96.57
 8500;1.23; 4.59;   98.08
 8510;1.23; 4.53;   92.43
 8520;1.23; 4.60;   99.72
 8530;1.23; 4.59;   98.74
 8540;1.22; 4.41;   82.65
 8550;1.22; 4.48;   88.05
 8560;1.22; 4.54;   93.94
 8570;1.22; 4.57;   96.81
 8580;1.22; 4.61;  100.23
 8590;1.22; 4.41;   82.49
 8600;1.22; 4.52;   92.15
 8610;1.22; 4.54;   93.79
 8620;1.22; 4.46;   86.68
 8630;1.22; 4.53;   93.18
 8640;1.22; 4.62;  101.32
 8650;1.22; 4.47;   87.60
 8660;1.22; 4.55;   94.58
 8670;1.22; 4.56;   95.36
 8680;1.21; 4.55;   94.58
 8690;1.21; 4.53;   92.34
 8700;1.21; 4.58;   97.67
 8710;1.21; 4.64;  104.01
 8720;1.21; 4.67;  106.24
 8730;1.21; 4.71;  110.64
 8740;1.21; 4.57;   96.30
 8750;1.21; 4.53;   93.14
 8760;1.21; 4.52;   92.10
 8770;1.21; 4.46;   86.23
 8780;1.21; 4.53;   92.80
 8790;1.21; 4.55;   94.24
 8800;1.21; 4.58;   97.53
 8810;1.21; 4.65;  104.98
 8820;1.20; 4.61;  100.04
 8830;1.20; 4.46;   86.85
 8840;1.20; 4.51;   91.23
 8850;1.20; 4.35;   77.69
 8860;1.20; 4.48;   88.28
 8870;1.20; 4.51;   90.76
 8880;1.20; 4.51;   90.47
 8890;1.20; 4.41;   82.48
 8900;1.20; 4.51;   90.83
 8910;1.20; 4.54;   93.53
 8920;1.20; 4.65;  104.51
 8930;1.20; 4.56;   95.43
 8940;1.20; 4.47;   87.72
 8950;1.20; 4.47;   87.38
 8960;1.20; 4.47;   87.44
 8970;1.19; 4.41;   82.35
 8980;1.19; 4.48;   88.64
 8990;1.19; 4.50;   90.42
 9000;1.19; 4.54;   93.86
 9010;1.19; 4.53;   93.20
 9020;1.19; 4.46;   86.23
 9030;1.19; 4.36;   78.16
 9040;1.19; 4.37;   79.40
 9050;1.19; 4.45;   85.70
 9060;1.19; 4.47;   87.00
 9070;1.19; 4.44;   84.90
 9080;1.19; 4.47;   87.71
 9090;1.19; 4.39;   81.01
 9100;1.19; 4.56;   95.16
 9110;1.19; 4.55;   94.17
 9120;1.18; 4.44;   85.05
 9130;1.18; 4.40;   81.38
 9140;1.18; 4.52;   91.61
 9150;1.18; 4.50;   90.29
 9160;1.18; 4.49;   89.05
 9170;1.18; 4.39;   80.75
 9180;1.18; 4.33;   75.75
 9190;1.18; 4.38;   79.69
 9200;1.18; 4.42;   83.51
 9210;1.18; 4.56;   95.58
 9220;1.18; 4.38;   79.69
 9230;1.18; 4.36;   78.53
 9240;1.18; 4.50;   89.89
 9250;1.18; 4.49;   88.94
 9260;1.18; 4.43;   83.60
 9270;1.18; 4.59;   98.64
 9280;1.17; 4.52;   91.58
 9290;1.17; 4.44;   84.83
 9300;1.17; 4.41;   81.90
 9310;1.17; 4.35;   77.75
 9320;1.17; 4.38;   79.85
 9330;1.17; 4.48;   87.95
 9340;1.17; 4.48;   88.29
 9350;1.17; 4.46;   86.92
 9360;1.17; 4.40;   81.68
 9370;1.17; 4.29;   73.24
 9380;1.17; 4.33;   76.32
 9390;1.17; 4.22;   67.89
 9400;1.17; 4.27;   71.55
 9410;1.17; 4.45;   85.29
 9420;1.17; 4.36;   78.13
 9430;1.17; 4.44;   84.48
 9440;1.16; 4.40;   81.80
 9450;1.16; 4.59;   98.15
 9460;1.16; 4.42;   82.70
 9470;1.16; 4.46;   86.33
 9480;1.16; 4.45;   85.46
 9490;1.16; 4.51;   90.77
 9500;1.16; 4.29;   73.23
 9510;1.16; 4.38;   79.80
 9520;1.16; 4.48;   88.11
 9530;1.16; 4.34;   76.60
 9540;1.16; 4.55;   95.09
 9550;1.16; 4.62;  100.99
 9560;1.16; 4.38;   79.75
 9570;1.16; 4.40;   81.55
 9580;1.16; 4.38;   79.55
 9590;1.16; 4.44;   84.44
 9600;1.15; 4.55;   94.53
 9610;1.15; 4.44;   84.59
 9620;1.15; 4.34;   76.36
 9630;1.15; 4.37;   79.20
 9640;1.15; 4.41;   82.41
 9650;1.15; 4.33;   76.27
 9660;1.15; 4.47;   87.00
 9670;1.15; 4.44;   84.50
 9680;1.15; 4.48;   88.39
 9690;1.15; 4.45;   85.34
 9700;1.15; 4.44;   84.70
 9710;1.15; 4.36;   78.07
 9720;1.15; 4.37;   78.95
 9740;1.15; 4.85;  128.25
 9750;1.15; 4.42;   83.19
 9760;1.15; 4.43;   84.04
 9770;1.14; 4.46;   86.76
 9780;1.14; 4.46;   86.18
 9790;1.14; 4.45;   85.53
 9800;1.14; 4.35;   77.23
 9810;1.14; 4.49;   89.43
 9820;1.14; 4.51;   91.29
 9830;1.14; 4.50;   90.27
 9840;1.14; 4.46;   86.55
 9850;1.14; 4.34;   76.90
 9860;1.14; 4.39;   80.98
 9870;1.14; 4.47;   87.06
 9880;1.14; 4.48;   88.01
 9890;1.14; 4.50;   89.99
 9900;1.14; 4.44;   85.09
 9910;1.14; 4.52;   91.51
 9920;1.14; 4.49;   89.00
 9930;1.14; 4.35;   77.64
 9940;1.13; 4.39;   80.64
 9950;1.13; 4.47;   86.94
 9960;1.13; 4.50;   89.70
 9970;1.13; 4.51;   91.15
 9980;1.13; 4.32;   75.17
 9990;1.13; 4.43;   83.82
10000;1.13; 4.45;   86.05
10010;1.13; 4.37;   79.13
10020;1.13; 4.45;   85.23
10030;1.13; 4.53;   92.60
10040;1.13; 4.39;   80.26
10050;1.13; 4.46;   86.51
10060;1.13; 4.47;   87.15
10070;1.13; 4.47;   86.99
10080;1.13; 4.44;   85.05
10090;1.13; 4.48;   88.67
10100;1.13; 4.56;   95.92
10110;1.13; 4.58;   97.65
10120;1.12; 4.61;  100.80
10130;1.12; 4.47;   87.40
10140;1.12; 4.46;   86.72
10150;1.12; 4.42;   83.37
10160;1.12; 4.37;   78.98
10170;1.12; 4.44;   85.14
10180;1.12; 4.46;   86.41
10190;1.12; 4.50;   89.69
10200;1.12; 4.57;   96.63
10210;1.12; 4.52;   91.46
10220;1.12; 4.40;   81.13
10230;1.12; 4.44;   84.36
10240;1.12; 4.27;   71.38
10250;1.12; 4.40;   81.42
10260;1.12; 4.44;   84.43
10270;1.12; 4.42;   82.91
10280;1.12; 4.33;   75.63
10290;1.12; 4.43;   84.06
10300;1.11; 4.46;   86.58
10310;1.11; 4.55;   94.40
10320;1.11; 4.47;   87.06
10330;1.11; 4.40;   81.25
10340;1.11; 4.39;   80.93
10350;1.11; 4.40;   81.18
10360;1.11; 4.33;   75.57
10370;1.11; 4.39;   80.63
10380;1.11; 4.43;   83.63
10390;1.11; 4.46;   86.80
10400;1.11; 4.45;   85.76
10410;1.11; 4.37;   79.25
10420;1.11; 4.28;   72.34
10430;1.11; 4.30;   73.98
10440;1.11; 4.37;   79.24
10450;1.11; 4.39;   80.55
10460;1.11; 4.37;   78.89
10470;1.11; 4.39;   80.30
10480;1.11; 4.32;   74.94
10490;1.10; 4.48;   88.15
10500;1.10; 4.46;   86.71
10510;1.10; 4.38;   79.69
10520;1.10; 4.31;   74.55
10530;1.10; 4.42;   83.47
10540;1.10; 4.41;   82.31
10550;1.10; 4.41;   82.60
10560;1.10; 4.33;   75.98
10570;1.10; 4.25;   70.26
10580;1.10; 4.28;   72.59
10590;1.10; 4.35;   77.58
10600;1.10; 4.50;   89.61
10610;1.10; 4.30;   74.02
10620;1.10; 4.28;   72.00
10630;1.10; 4.42;   82.74
10640;1.10; 4.42;   82.72
10650;1.10; 4.35;   77.30
10660;1.10; 4.50;   89.87
10670;1.10; 4.43;   84.27
10680;1.09; 4.36;   77.95
10690;1.09; 4.33;   76.02
10700;1.09; 4.29;   72.98
10710;1.09; 4.30;   73.67
10720;1.09; 4.41;   82.06
10730;1.09; 4.41;   81.96
10740;1.09; 4.37;   78.68
10750;1.09; 4.33;   75.66
10760;1.09; 4.22;   67.71
10770;1.09; 4.27;   71.59
10780;1.09; 4.15;   63.42
10790;1.09; 4.19;   66.28
10800;1.09; 4.38;   79.44
10810;1.09; 4.29;   72.99
10820;1.09; 4.36;   78.42
10830;1.09; 4.33;   75.96
10840;1.09; 4.51;   91.33
10850;1.09; 4.32;   75.51
10860;1.09; 4.39;   80.33
10870;1.09; 4.35;   77.58
10880;1.08; 4.43;   83.76
10890;1.08; 4.20;   66.92
10900;1.08; 4.29;   72.93
10910;1.08; 4.41;   81.87
10920;1.08; 4.26;   70.89
10930;1.08; 4.47;   87.34
10940;1.08; 4.54;   94.10
10950;1.08; 4.30;   73.67
10960;1.08; 4.32;   75.42
10970;1.08; 4.31;   74.20
10980;1.08; 4.37;   79.44
10990;1.08; 4.48;   88.21
11000;1.08; 4.37;   78.68
11010;1.08; 4.25;   70.09
11020;1.08; 4.30;   73.49
11030;1.08; 4.35;   77.43
11040;1.08; 4.27;   71.54
11050;1.08; 4.39;   80.98
11060;1.08; 4.37;   78.70
11070;1.08; 4.40;   81.47
11080;1.07; 4.37;   79.36
11090;1.07; 4.36;   78.47
11100;1.07; 4.29;   72.71
11110;1.07; 4.29;   73.10
11130;1.07; 4.78;  119.13
11140;1.07; 4.34;   77.04
11150;1.07; 4.36;   78.55
11160;1.07; 4.39;   80.88
11170;1.07; 4.37;   78.87
11180;1.07; 4.38;   79.65
11190;1.07; 4.27;   71.26
11200;1.07; 4.42;   83.37
11210;1.07; 4.44;   85.10
11220;1.07; 4.43;   84.19
11230;1.07; 4.38;   79.70
11240;1.07; 4.26;   70.58
11250;1.07; 4.32;   75.23
11260;1.07; 4.41;   82.15
11270;1.07; 4.41;   82.03
11280;1.07; 4.42;   82.77
11290;1.06; 4.37;   78.95
11300;1.06; 4.43;   83.56
11310;1.06; 4.43;   84.24
11320;1.06; 4.27;   71.63
11330;1.06; 4.32;   75.15
11340;1.06; 4.39;   80.55
11350;1.06; 4.42;   82.76
11360;1.06; 4.44;   85.05
11370;1.06; 4.26;   70.95
11380;1.06; 4.37;   78.98
11390;1.06; 4.38;   80.16
11400;1.06; 4.31;   74.23
11410;1.06; 4.38;   79.66
11420;1.06; 4.46;   86.65
11430;1.06; 4.32;   75.26
11440;1.06; 4.38;   79.94
11450;1.06; 4.40;   81.73
11460;1.06; 4.38;   79.87
11470;1.06; 4.37;   78.95
11480;1.06; 4.42;   83.05
11490;1.06; 4.48;   87.87
11500;1.06; 4.50;   89.90
11510;1.05; 4.55;   94.69
11520;1.05; 4.41;   81.92
11530;1.05; 4.38;   79.81
11540;1.05; 4.34;   76.65
11550;1.05; 4.30;   73.61
11560;1.05; 4.37;   79.31
11570;1.05; 4.39;   80.92
11580;1.05; 4.44;   84.50
11590;1.05; 4.49;   88.80
11600;1.05; 4.45;   85.42
11610;1.05; 4.32;   75.40
11620;1.05; 4.37;   78.83
11630;1.05; 4.20;   66.52
11640;1.05; 4.33;   75.73
11650;1.05; 4.35;   77.76
11660;1.05; 4.35;   77.71
11670;1.05; 4.26;   70.69
11680;1.05; 4.36;   78.13
11690;1.05; 4.38;   79.92
11700;1.05; 4.49;   89.00
11710;1.05; 4.40;   81.85
11720;1.05; 4.31;   74.80
11730;1.04; 4.32;   74.93
11740;1.04; 4.33;   76.11
11750;1.04; 4.26;   70.79
11760;1.04; 4.31;   74.77
11770;1.04; 4.35;   77.71
11780;1.04; 4.40;   81.19
11790;1.04; 4.38;   79.67
11800;1.04; 4.30;   73.79
11810;1.04; 4.22;   67.74
11820;1.04; 4.23;   68.80
11830;1.04; 4.31;   74.34
11840;1.04; 4.31;   74.44
11850;1.04; 4.30;   73.42
11860;1.04; 4.31;   74.24
11870;1.04; 4.25;   69.81
11880;1.04; 4.39;   80.89
11890;1.04; 4.39;   80.91
11900;1.04; 4.31;   74.15
11910;1.04; 4.26;   70.65
11920;1.04; 4.36;   78.00
11930;1.04; 4.35;   77.11
11940;1.04; 4.33;   75.84
11950;1.04; 4.27;   71.27
11960;1.03; 4.19;   65.93
11970;1.03; 4.22;   68.24
11980;1.03; 4.28;   72.08
11990;1.03; 4.41;   82.36
12000;1.03; 4.23;   69.05
12010;1.03; 4.22;   68.09
12020;1.03; 4.35;   77.67
12030;1.03; 4.35;   77.42
12040;1.03; 4.26;   71.13
12050;1.03; 4.43;   84.04
12060;1.03; 4.35;   77.59
12070;1.03; 4.29;   73.29
12080;1.03; 4.27;   71.53
12090;1.03; 4.20;   66.45
12100;1.03; 4.23;   68.52
12110;1.03; 4.34;   76.63
12120;1.03; 4.34;   76.87
12130;1.03; 4.30;   73.41
12140;1.03; 4.27;   71.42
12150;1.03; 4.15;   63.35
12160;1.03; 4.21;   67.11
12170;1.03; 4.07;   58.76
12180;1.03; 4.14;   62.88
12190;1.02; 4.29;   73.09
12200;1.02; 4.22;   68.26
12210;1.02; 4.30;   73.60
12220;1.02; 4.28;   72.52
12230;1.02; 4.44;   84.85
12240;1.02; 4.25;   70.42
12250;1.02; 4.32;   75.07
12260;1.02; 4.30;   73.94
12270;1.02; 4.36;   78.33
12280;1.02; 4.15;   63.42
12290;1.02; 4.22;   67.97
12300;1.02; 4.34;   76.35
12310;1.02; 4.20;   66.98
12320;1.02; 4.40;   81.21
12330;1.02; 4.48;   88.07
12340;1.02; 4.23;   68.48
12350;1.02; 4.27;   71.85
12360;1.02; 4.24;   69.39
12370;1.02; 4.29;   72.95
12380;1.02; 4.41;   82.29
12390;1.02; 4.30;   73.67
12400;1.02; 4.19;   66.01
12410;1.02; 4.24;   69.42
12420;1.02; 4.29;   72.64
12430;1.01; 4.20;   66.95
12440;1.01; 4.34;   76.60
12450;1.01; 4.31;   74.17
12460;1.01; 4.34;   76.39
12470;1.01; 4.31;   74.35
12480;1.01; 4.30;   73.99
12490;1.01; 4.23;   68.46
12500;1.01; 4.24;   69.14
12520;1.01; 4.71;  110.76
12530;1.01; 4.29;   72.62
12540;1.01; 4.30;   73.73
12550;1.01; 4.33;   75.81
12560;1.01; 4.32;   75.38
12570;1.01; 4.30;   73.78
12580;1.01; 4.21;   67.29
12590;1.01; 4.36;   77.88
12600;1.01; 4.38;   79.54
12610;1.01; 4.37;   79.08
12620;1.01; 4.31;   74.57
12630;1.01; 4.19;   66.03
12640;1.01; 4.26;   70.72
12650;1.01; 4.34;   76.79
12660;1.01; 4.34;   76.91
12670;1.01; 4.34;   76.82
12680;1.00; 4.31;   74.52
12690;1.00; 4.35;   77.81
12700;1.00; 4.38;   79.50
12710;1.00; 4.20;   66.69
12720;1.00; 4.26;   70.57
12730;1.00; 4.33;   75.76
12740;1.00; 4.36;   77.94
12750;1.00; 4.38;   79.76
12760;1.00; 4.20;   66.99
12770;1.00; 4.30;   73.57
12780;1.00; 4.29;   73.26
12790;1.00; 4.25;   70.27
12800;1.00; 4.32;   74.86
12810;1.00; 4.40;   81.08
12820;1.00; 4.26;   71.06
12830;1.00; 4.32;   75.37
12840;1.00; 4.33;   75.98
12850;1.00; 4.32;   75.40
12860;1.00; 4.31;   74.35
12870;1.00; 4.35;   77.51
12880;1.00; 4.42;   82.71
12890;1.00; 4.43;   84.22
12900;1.00; 4.47;   87.46
12910;1.00; 4.35;   77.36
12920;1.00; 4.31;   74.79
12930;1.00; 4.29;   73.02
12940;0.99; 4.25;   70.23
12950;0.99; 4.32;   75.29
12960;0.99; 4.34;   76.48
12970;0.99; 4.37;   78.90
12980;0.99; 4.43;   84.33
12990;0.99; 4.38;   80.02
13000;0.99; 4.25;   70.35
13010;0.99; 4.31;   74.77
13020;0.99; 4.15;   63.39
13030;0.99; 4.27;   71.53
13040;0.99; 4.29;   72.90
13050;0.99; 4.29;   72.71
13060;0.99; 4.20;   66.53
13070;0.99; 4.28;   71.89
13080;0.99; 4.32;   74.86
13090;0.99; 4.42;   83.33
13100;0.99; 4.35;   77.32
13110;0.99; 4.25;   70.02
13120;0.99; 4.26;   70.46
13130;0.99; 4.26;   70.55
13140;0.99; 4.18;   65.18
13150;0.99; 4.26;   70.83
13160;0.99; 4.31;   74.31
13170;0.99; 4.33;   75.62
13180;0.99; 4.32;   75.13
13190;0.99; 4.25;   69.78
13200;0.98; 4.15;   63.37
13210;0.98; 4.17;   64.78
13220;0.98; 4.23;   68.54
13230;0.98; 4.26;   70.68
13240;0.98; 4.23;   69.06
13250;0.98; 4.26;   71.00
13260;0.98; 4.18;   65.14
13270;0.98; 4.33;   76.23
13280;0.98; 4.33;   76.11
13290;0.98; 4.25;   70.26
13300;0.98; 4.21;   67.11
13310;0.98; 4.30;   73.33
13320;0.98; 4.27;   71.67
13330;0.98; 4.28;   72.34
13340;0.98; 4.20;   66.84
13350;0.98; 4.14;   62.82
13360;0.98; 4.16;   64.36
13370;0.98; 4.22;   68.27
13380;0.98; 4.36;   78.31
13390;0.98; 4.18;   65.53
13400;0.98; 4.15;   63.27
13410;0.98; 4.28;   72.59
13420;0.98; 4.30;   73.45
13430;0.98; 4.20;   67.02
13440;0.98; 4.36;   77.91
13450;0.98; 4.30;   73.76
13460;0.98; 4.23;   68.65
13470;0.97; 4.21;   67.13
13480;0.97; 4.17;   64.53
13490;0.97; 4.18;   65.06
13500;0.97; 4.27;   71.72
13510;0.97; 4.28;   72.28
13520;0.97; 4.23;   68.98
13530;0.97; 4.19;   66.33
13540;0.97; 4.09;   59.95
13550;0.97; 4.14;   62.87
13560;0.97; 4.03;   56.23
13570;0.97; 4.07;   58.74
13580;0.97; 4.25;   69.81
13590;0.97; 4.17;   64.97
13600;0.97; 4.25;   70.18
13610;0.97; 4.22;   67.96
13620;0.97; 4.37;   79.33
13630;0.97; 4.20;   66.96
13640;0.97; 4.24;   69.66
13650;0.97; 4.23;   68.41
13660;0.97; 4.30;   73.78
13670;0.97; 4.10;   60.21
13680;0.97; 4.18;   65.09
13690;0.97; 4.28;   71.94
13700;0.97; 4.14;   63.06
13710;0.97; 4.35;   77.23
13720;0.97; 4.42;   82.94
13730;0.97; 4.16;   64.14
13740;0.97; 4.21;   67.67
13750;0.96; 4.19;   66.19
13760;0.96; 4.23;   68.82
13770;0.96; 4.36;   78.13
13780;0.96; 4.25;   69.85
13790;0.96; 4.14;   62.99
13800;0.96; 4.18;   65.50
13810;0.96; 4.23;   68.64
13820;0.96; 4.15;   63.64
13830;0.96; 4.29;   72.69
13840;0.96; 4.25;   70.15
13850;0.96; 4.28;   72.42
13860;0.96; 4.25;   70.21
13870;0.96; 4.25;   70.15
13880;0.96; 4.16;   63.80
13890;0.96; 4.17;   64.68
13910;0.96; 4.63;  102.57
13920;0.96; 4.24;   69.29
13930;0.96; 4.25;   70.38
13940;0.96; 4.26;   70.86
13950;0.96; 4.26;   70.99
13960;0.96; 4.25;   70.42
13970;0.96; 4.14;   63.08
13980;0.96; 4.31;   74.46
13990;0.96; 4.32;   75.47
14000;0.96; 4.30;   73.37
14010;0.96; 4.27;   71.73
14020;0.96; 4.13;   62.04
14030;0.96; 4.21;   67.35
14040;0.95; 4.26;   71.16
14050;0.95; 4.28;   72.11
14060;0.95; 4.29;   72.82
14070;0.95; 4.25;   70.31
14080;0.95; 4.29;   73.29
14090;0.95; 4.31;   74.39
14100;0.95; 4.15;   63.75
14110;0.95; 4.19;   66.20
14120;0.95; 4.26;   70.76
14130;0.95; 4.31;   74.14
14140;0.95; 4.31;   74.54
14150;0.95; 4.14;   62.99
14160;0.95; 4.25;   70.14
14170;0.95; 4.25;   70.45
14180;0.95; 4.18;   65.62
14190;0.95; 4.26;   70.84
14200;0.95; 4.34;   76.72
14210;0.95; 4.20;   66.48
14220;0.95; 4.27;   71.78
14230;0.95; 4.28;   72.14
14240;0.95; 4.27;   71.46
14250;0.95; 4.25;   70.24
14260;0.95; 4.30;   74.00
14270;0.95; 4.34;   76.84
14280;0.95; 4.37;   79.36
14290;0.95; 4.41;   82.44
14300;0.95; 4.30;   73.46
14310;0.95; 4.25;   70.21
14320;0.95; 4.23;   68.92
14330;0.95; 4.20;   66.78
14340;0.94; 4.26;   70.84
14350;0.94; 4.27;   71.20
14360;0.94; 4.30;   74.05
14370;0.94; 4.38;   79.72
14380;0.94; 4.34;   77.07
14390;0.94; 4.21;   67.18
14400;0.94; 4.26;   71.00
14410;0.94; 4.08;   58.88
14420;0.94; 4.22;   67.82
14430;0.94; 4.23;   69.00
14440;0.94; 4.23;   68.56
14450;0.94; 4.13;   62.23
14460;0.94; 4.24;   69.16
14470;0.94; 4.26;   70.56
14480;0.94; 4.36;   78.34
14490;0.94; 4.29;   72.98
14500;0.94; 4.20;   66.69
14510;0.94; 4.20;   66.60
14520;0.94; 4.21;   67.11
14530;0.94; 4.14;   62.64
14540;0.94; 4.20;   66.69
14550;0.94; 4.24;   69.75
14560;0.94; 4.27;   71.38
14570;0.94; 4.26;   70.73
14580;0.94; 4.19;   66.30
14590;0.94; 4.10;   60.16
14600;0.94; 4.11;   60.75
14610;0.94; 4.18;   65.63
14620;0.94; 4.20;   66.76
14630;0.94; 4.19;   66.02
14640;0.94; 4.20;   66.99
14650;0.93; 4.14;   62.59
14660;0.93; 4.29;   72.65
14670;0.93; 4.29;   73.00
14680;0.93; 4.19;   66.34
14690;0.93; 4.13;   62.43
14700;0.93; 4.25;   70.14
14710;0.93; 4.21;   67.54
14720;0.93; 4.23;   68.70
14730;0.93; 4.14;   62.64
14740;0.93; 4.09;   59.46
14750;0.93; 4.11;   60.80
14760;0.93; 4.16;   64.09
14770;0.93; 4.29;   73.15
14780;0.93; 4.13;   62.41
14790;0.93; 4.10;   60.62
14800;0.93; 4.23;   68.40
14810;0.93; 4.23;   68.97
14820;0.93; 4.15;   63.52
14830;0.93; 4.31;   74.21
14840;0.93; 4.25;   69.99
14850;0.93; 4.17;   64.82
14860;0.93; 4.17;   64.52
14870;0.93; 4.10;   60.59
14880;0.93; 4.13;   62.29
14890;0.93; 4.23;   68.73
14900;0.93; 4.21;   67.48
14910;0.93; 4.18;   65.29
14920;0.93; 4.14;   62.99
14930;0.93; 4.04;   57.03
14940;0.93; 4.08;   59.32
14950;0.93; 3.97;   53.17
14960;0.93; 4.02;   55.93
14970;0.92; 4.19;   66.02
14980;0.92; 4.11;   60.72
14990;0.92; 4.19;   66.19
15000;0.92; 4.17;   64.74
15010;0.92; 4.32;   75.24
15020;0.92; 4.15;   63.56
15030;0.92; 4.20;   66.37
15040;0.92; 4.18;   65.53
15050;0.92; 4.25;   70.05
15060;0.92; 4.05;   57.33
15070;0.92; 4.13;   62.17
15080;0.92; 4.23;   68.90
15090;0.92; 4.10;   60.16
15100;0.92; 4.28;   72.59
15110;0.92; 4.36;   78.27
15120;0.92; 4.12;   61.42
15130;0.92; 4.16;   63.83
15140;0.92; 4.14;   63.00
15150;0.92; 4.18;   65.41
15160;0.92; 4.30;   73.75
15170;0.92; 4.18;   65.18
15180;0.92; 4.09;   59.80
15190;0.92; 4.12;   61.65
15200;0.92; 4.17;   64.91
15210;0.92; 4.11;   60.65
15220;0.92; 4.22;   68.33
15230;0.92; 4.21;   67.45
15240;0.92; 4.23;   68.43
15250;0.92; 4.21;   67.12
15260;0.92; 4.19;   65.73
15270;0.92; 4.11;   61.07
15280;0.92; 4.13;   61.89
15300;0.91; 4.60;   99.02
15310;0.91; 4.18;   65.54
15320;0.91; 4.21;   67.52
15330;0.91; 4.22;   68.11
15340;0.91; 4.21;   67.43
15350;0.91; 4.21;   67.36
15360;0.91; 4.11;   60.83
15370;0.91; 4.25;   70.05
15380;0.91; 4.28;   72.09
15390;0.91; 4.26;   70.67
15400;0.91; 4.21;   67.43
15410;0.91; 4.08;   59.38
15420;0.91; 4.15;   63.56
15430;0.91; 4.22;   68.33
15440;0.91; 4.21;   67.67
15450;0.91; 4.23;   68.78
15460;0.91; 4.19;   65.84
15470;0.91; 4.24;   69.18
15480;0.91; 4.25;   70.44
15490;0.91; 4.10;   60.33
15500;0.91; 4.16;   64.02
15510;0.91; 4.21;   67.20
15520;0.91; 4.25;   70.29
15530;0.91; 4.26;   70.69
15540;0.91; 4.09;   59.46
15550;0.91; 4.21;   67.28
15560;0.91; 4.20;   66.62
15570;0.91; 4.15;   63.36
15580;0.91; 4.21;   67.11
15590;0.91; 4.28;   72.09
15600;0.91; 4.15;   63.20
15610;0.91; 4.22;   67.72
15620;0.91; 4.23;   68.45
15630;0.91; 4.21;   67.31
15640;0.90; 4.20;   66.61
15650;0.90; 4.24;   69.37
15660;0.90; 4.29;   73.28
15670;0.90; 4.30;   74.00
15680;0.90; 4.35;   77.60
15690;0.90; 4.24;   69.42
15700;0.90; 4.21;   67.26
15710;0.90; 4.19;   65.91
15720;0.90; 4.14;   62.58
15730;0.90; 4.21;   67.68
15740;0.90; 4.22;   68.25
15750;0.90; 4.28;   72.35
15760;0.90; 4.32;   75.44
15770;0.90; 4.28;   72.21
15780;0.90; 4.16;   64.00
15790;0.90; 4.20;   66.71
15800;0.90; 4.01;   55.38
15810;0.90; 4.15;   63.64
15820;0.90; 4.19;   65.90
15830;0.90; 4.18;   65.17
15840;0.90; 4.08;   59.26
15850;0.90; 4.17;   65.01
15860;0.90; 4.21;   67.33
15870;0.90; 4.30;   73.76
15880;0.90; 4.23;   68.66
15890;0.90; 4.14;   63.05
15900;0.90; 4.15;   63.60
15910;0.90; 4.15;   63.31
15920;0.90; 4.09;   59.71
15930;0.90; 4.15;   63.30
15940;0.90; 4.19;   65.89
15950;0.90; 4.22;   68.18
15960;0.90; 4.21;   67.55
