step;lr;trainingloss;trainingppl
 1820;0.81; 5.60;  270.50
 1830;0.82; 5.66;  285.84
 1840;0.82; 5.71;  302.33
 1850;0.83; 5.71;  301.01
 1860;0.83; 5.74;  310.66
 1870;0.84; 5.73;  308.49
 1880;0.84; 5.64;  281.68
 1890;0.85; 5.65;  284.78
 1900;0.85; 5.53;  252.48
 1910;0.85; 5.63;  279.17
 1920;0.86; 5.67;  290.98
 1930;0.86; 5.67;  289.41
 1940;0.87; 5.54;  255.03
 1950;0.87; 5.64;  281.29
 1960;0.88; 5.63;  279.72
 1970;0.88; 5.75;  314.69
 1980;0.89; 5.68;  292.47
 1990;0.89; 5.64;  282.73
 2000;0.89; 5.56;  259.88
 2010;0.90; 5.60;  271.29
 2020;0.90; 5.53;  253.31
 2030;0.91; 5.62;  275.33
 2040;0.91; 5.61;  271.79
 2050;0.92; 5.60;  269.69
 2060;0.92; 5.64;  282.82
 2070;0.93; 5.59;  267.01
 2080;0.93; 5.44;  231.49
 2090;0.94; 5.44;  230.18
 2100;0.94; 5.53;  250.91
 2110;0.94; 5.53;  252.52
 2120;0.95; 5.53;  252.18
 2130;0.95; 5.60;  269.62
 2140;0.96; 5.52;  249.09
 2150;0.96; 5.62;  277.09
 2160;0.97; 5.62;  276.25
 2170;0.97; 5.54;  255.67
 2180;0.98; 5.49;  242.38
 2190;0.98; 5.64;  280.92
 2200;0.98; 5.61;  273.82
 2210;0.99; 5.57;  263.56
 2220;0.99; 5.44;  229.73
 2230;1.00; 5.40;  221.77
 2240;1.00; 5.43;  228.98
 2250;1.01; 5.51;  246.67
 2260;1.01; 5.62;  277.25
 2270;1.02; 5.41;  224.51
 2280;1.02; 5.43;  227.71
 2290;1.02; 5.57;  261.32
 2300;1.03; 5.58;  264.53
 2310;1.03; 5.50;  244.46
 2320;1.04; 5.66;  288.41
 2330;1.04; 5.57;  263.59
 2340;1.05; 5.48;  239.17
 2350;1.05; 5.42;  225.82
 2360;1.06; 5.44;  229.42
 2370;1.06; 5.40;  222.36
 2380;1.06; 5.51;  246.75
 2390;1.07; 5.52;  249.85
 2400;1.07; 5.47;  238.08
 2410;1.08; 5.41;  222.96
 2420;1.08; 5.41;  222.79
 2430;1.09; 5.38;  216.56
 2440;1.09; 5.28;  195.89
 2450;1.10; 5.28;  195.94
 2460;1.10; 5.43;  227.48
 2470;1.11; 5.39;  218.76
 2480;1.11; 5.43;  228.03
 2490;1.11; 5.42;  225.97
 2500;1.12; 5.63;  278.71
 2510;1.12; 5.43;  229.22
 2520;1.13; 5.49;  242.25
 2530;1.13; 5.46;  236.10
 2540;1.14; 5.49;  242.23
 2550;1.14; 5.30;  201.00
 2560;1.15; 5.38;  216.34
 2570;1.15; 5.50;  244.63
 2580;1.15; 5.33;  206.03
 2590;1.16; 5.53;  251.61
 2600;1.16; 5.56;  259.08
 2610;1.17; 5.37;  215.37
 2620;1.17; 5.38;  216.97
 2630;1.18; 5.35;  210.00
 2640;1.18; 5.43;  228.68
 2650;1.19; 5.51;  247.65
 2660;1.19; 5.43;  227.66
 2670;1.19; 5.33;  205.49
 2680;1.20; 5.33;  207.33
 2690;1.20; 5.37;  214.62
 2700;1.21; 5.31;  201.78
 2710;1.21; 5.43;  227.98
 2720;1.22; 5.38;  217.81
 2730;1.22; 5.45;  232.75
 2740;1.23; 5.39;  218.48
 2750;1.23; 5.39;  218.17
 2760;1.23; 5.33;  205.86
 2770;1.24; 5.34;  209.56
 2790;1.25; 5.88;  358.47
 2800;1.25; 5.37;  214.25
 2810;1.26; 5.31;  201.56
 2820;1.26; 5.41;  224.25
 2830;1.27; 5.41;  223.81
 2840;1.27; 5.37;  215.23
 2850;1.28; 5.29;  198.49
 2860;1.28; 5.42;  225.23
 2870;1.28; 5.42;  226.13
 2880;1.29; 5.45;  233.79
 2890;1.29; 5.38;  216.26
 2900;1.30; 5.30;  200.75
 2910;1.30; 5.34;  207.82
 2920;1.31; 5.42;  226.74
 2930;1.31; 5.41;  223.91
 2940;1.32; 5.41;  224.72
 2950;1.32; 5.37;  214.59
 2960;1.32; 5.45;  232.27
 2970;1.33; 5.41;  224.55
 2980;1.33; 5.24;  189.54
 2990;1.34; 5.29;  199.29
 3000;1.34; 5.39;  219.16
 3010;1.35; 5.37;  213.93
 3020;1.35; 5.43;  227.42
 3030;1.36; 5.23;  187.19
 3040;1.36; 5.36;  213.49
 3050;1.36; 5.35;  209.71
 3060;1.37; 5.25;  189.83
 3070;1.37; 5.34;  209.29
 3080;1.38; 5.42;  224.95
 3090;1.38; 5.27;  193.72
 3100;1.39; 5.38;  216.29
 3110;1.39; 5.37;  213.98
 3120;1.40; 5.36;  213.70
 3130;1.40; 5.32;  204.61
 3140;1.40; 5.42;  226.97
 3150;1.41; 5.43;  228.09
 3160;1.41; 5.45;  232.15
 3170;1.42; 5.49;  242.69
 3180;1.42; 5.33;  205.58
 3190;1.43; 5.35;  209.73
 3200;1.43; 5.34;  209.47
 3210;1.44; 5.23;  185.96
 3220;1.44; 5.30;  200.07
 3230;1.45; 5.36;  213.34
 3240;1.45; 5.34;  207.87
 3250;1.45; 5.41;  223.02
 3260;1.46; 5.37;  213.89
 3270;1.46; 5.24;  189.47
 3280;1.47; 5.28;  196.20
 3290;1.47; 5.16;  173.55
 3300;1.48; 5.27;  194.75
 3310;1.48; 5.30;  199.91
 3320;1.49; 5.29;  199.27
 3330;1.49; 5.22;  184.93
 3340;1.49; 5.29;  198.46
 3350;1.50; 5.30;  199.50
 3360;1.50; 5.40;  220.65
 3370;1.51; 5.34;  207.72
 3380;1.51; 5.27;  194.69
 3390;1.52; 5.21;  183.91
 3400;1.52; 5.26;  192.47
 3410;1.53; 5.18;  177.11
 3420;1.53; 5.26;  192.30
 3430;1.53; 5.26;  191.61
 3440;1.54; 5.27;  194.11
 3450;1.54; 5.27;  193.67
 3460;1.55; 5.22;  184.84
 3470;1.55; 5.11;  165.83
 3480;1.56; 5.11;  165.01
 3490;1.56; 5.20;  180.52
 3500;1.57; 5.18;  177.33
 3510;1.57; 5.17;  176.23
 3520;1.57; 5.22;  184.83
 3530;1.58; 5.15;  172.84
 3540;1.58; 5.30;  199.77
 3550;1.59; 5.27;  194.35
 3560;1.59; 5.18;  177.68
 3570;1.60; 5.15;  172.14
 3580;1.60; 5.27;  194.40
 3590;1.61; 5.30;  200.14
 3600;1.61; 5.21;  183.73
 3610;1.62; 5.10;  163.57
 3620;1.62; 5.05;  155.75
 3630;1.62; 5.09;  162.62
 3640;1.63; 5.15;  173.01
 3650;1.63; 5.29;  197.90
 3660;1.64; 5.09;  161.79
 3670;1.64; 5.09;  162.12
 3680;1.65; 5.24;  188.01
 3690;1.65; 5.24;  189.54
 3700;1.66; 5.16;  173.83
 3710;1.66; 5.33;  205.77
 3720;1.66; 5.24;  189.34
 3730;1.67; 5.13;  169.62
 3740;1.67; 5.11;  165.86
 3750;1.68; 5.06;  157.59
 3760;1.68; 5.07;  159.31
 3770;1.69; 5.15;  172.71
 3780;1.69; 5.18;  178.34
 3790;1.70; 5.14;  170.42
 3800;1.70; 5.08;  161.43
 3810;1.70; 5.03;  153.47
 3820;1.71; 5.05;  155.49
 3830;1.71; 4.91;  136.18
 3840;1.72; 4.97;  144.31
 3850;1.72; 5.09;  162.37
 3860;1.73; 5.04;  154.48
 3870;1.73; 5.13;  168.59
 3880;1.74; 5.11;  164.96
 3890;1.74; 5.29;  198.84
 3900;1.74; 5.14;  170.26
 3910;1.75; 5.19;  179.17
 3920;1.75; 5.14;  170.80
